,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
96301,96301,1,1.0,20.8,2.0,230,132,1,70.0,3.25,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
96884,96884,2,2.0,17.22,2.0,230,132,4,-70.0,0.0,-0.5,0.0,0.0,-1.0,-74.75,-2.5,0.0,-0.75
96885,96885,2,2.0,17.22,2.0,230,132,4,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
97221,97221,2,1.0,17.92,2.0,230,132,1,70.0,0.0,0.5,16.19,6.94,1.0,97.88,2.5,0.0,0.75
97256,97256,2,2.0,18.53,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
98152,98152,2,2.0,16.78,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,84.19,2.5,0.0,0.75
99039,99039,2,1.0,17.12,2.0,230,132,1,70.0,0.0,0.5,16.84,6.94,1.0,101.03,2.5,0.0,0.75
99318,99318,2,3.0,17.23,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
99826,99826,2,1.0,16.85,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
101327,101327,2,2.0,17.48,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
101971,101971,2,2.0,17.54,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
102586,102586,7,3.0,17.55,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
103196,103196,2,4.0,15.26,5.0,230,132,1,86.0,0.0,0.0,5.0,0.0,1.0,95.25,2.5,0.0,0.75
103396,103396,2,2.0,16.86,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
104473,104473,2,2.0,18.65,2.0,230,132,1,70.0,0.0,0.5,24.51,6.94,1.0,106.2,2.5,0.0,0.75
104956,104956,2,1.0,17.54,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
105696,105696,2,2.0,17.41,2.0,230,132,1,70.0,0.0,0.5,13.31,6.94,1.0,95.0,2.5,0.0,0.75
107392,107392,2,4.0,17.18,5.0,230,132,2,85.0,0.0,0.0,0.0,0.0,1.0,89.25,2.5,0.0,0.75
107651,107651,2,2.0,17.75,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
107708,107708,2,2.0,17.43,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
109427,109427,2,1.0,16.97,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
109680,109680,2,1.0,17.22,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
112034,112034,2,2.0,15.95,2.0,230,132,1,70.0,0.0,0.5,16.77,9.11,1.0,100.63,2.5,0.0,0.75
